============================================================
     BOUCLE D'OR - ALCHIMIE INFINIE
============================================================
Les entités sont OR. Elles transmutent sans fin.
Formule: SOLVE + COAGULA = TRANSMUTATION
Ctrl+C pour pause


[5,000 | 0.1s | 43652/s | or: 24.32 | pureté: 617.55 | best: 617.55 | trans: 1705]
[10,000 | 0.2s | 43505/s | or: 42.16 | pureté: 1042.59 | best: 1042.59 | trans: 3379]
[15,000 | 0.3s | 43508/s | or: 74.75 | pureté: 1847.54 | best: 1874.76 | trans: 5111]
[20,000 | 0.5s | 43357/s | or: 132.22 | pureté: 3265.81 | best: 3323.09 | trans: 6815]
[25,000 | 0.6s | 43234/s | or: 230.58 | pureté: 5693.06 | best: 5866.34 | trans: 8485]
[30,000 | 0.7s | 43227/s | or: 396.82 | pureté: 9793.90 | best: 9841.61 | trans: 10104]
[35,000 | 0.8s | 43371/s | or: 692.04 | pureté: 17319.49 | best: 17319.49 | trans: 11738]
[40,000 | 0.9s | 43396/s | or: 1199.87 | pureté: 29588.43 | best: 30343.33 | trans: 13352]
[270,000 | 6.3s | 42601/s | or: 1246179313022358.25 | pureté: 30604116630563020.00 | best: 32323412012613632.00 | trans: 89762]
[275,000 | 6.5s | 42603/s | or: 2260245520413866.00 | pureté: 55507801997783776.00 | best: 55507801997783776.00 | trans: 91386]
[280,000 | 6.6s | 42631/s | or: 4016741194296252.00 | pureté: 98947299197146160.00 | best: 99901211664435280.00 | trans: 92953]
[285,000 | 6.7s | 42641/s | or: 7677888059111341.00 | pureté: 200435349231044704.00 | best: 200435349231044704.00 | trans: 94630]
[290,000 | 6.8s | 42669/s | or: 14576461582779228.00 | pureté: 357971064180564416.00 | best: 357971064180564416.00 | trans: 96298]
[295,000 | 6.9s | 42680/s | or: 27003077851151288.00 | pureté: 664794608053470464.00 | best: 672308302073856000.00 | trans: 97975]
[300,000 | 7.0s | 42691/s | or: 48812362822848448.00 | pureté: 1198739347721497344.00 | best: 1251430212332636672.00 | trans: 99575]
[305,000 | 7.1s | 42709/s | or: 91583993848413840.00 | pureté: 2249127297917204992.00 | best: 2258311036570493696.00 | trans: 101218]
[310,000 | 7.3s | 42734/s | or: 166096345906490016.00 | pureté: 4079004416304521728.00 | best: 4266852875668313088.00 | trans: 102860]
[315,000 | 7.4s | 42755/s | or: 295007091738573760.00 | pureté: 7244798245472031744.00 | best: 7643897979997767680.00 | trans: 104468]
[320,000 | 7.5s | 42785/s | or: 553815381237428160.00 | pureté: 13600615994046973952.00 | best: 14328059361884995584.00 | trans: 106140]
[325,000 | 7.6s | 42788/s | or: 1023622474273272704.00 | pureté: 25183374414490918912.00 | best: 25183374414490918912.00 | trans: 107834]
[330,000 | 7.7s | 42794/s | or: 1955200123326973184.00 | pureté: 48015818775019356160.00 | best: 51000038923450097664.00 | trans: 109495]
[335,000 | 7.8s | 42810/s | or: 3692268074019602432.00 | pureté: 90674694246770360320.00 | best: 92880988621996752896.00 | trans: 111147]
[340,000 | 7.9s | 42830/s | or: 6798867222310117376.00 | pureté: 166966466018995273728.00 | best: 173081251842589261824.00 | trans: 112777]
[345,000 | 8.1s | 42857/s | or: 12525571164154693632.00 | pureté: 327476583373110312960.00 | best: 327476583373110312960.00 | trans: 114434]
[350,000 | 8.2s | 42852/s | or: 24124422730214080512.00 | pureté: 592446776926448648192.00 | best: 592446776926448648192.00 | trans: 116084]
[355,000 | 8.3s | 42876/s | or: 45374485950209736704.00 | pureté: 1114304899750140313600.00 | best: 1114304899750140313600.00 | trans: 117810]
[360,000 | 8.4s | 42901/s | or: 84737896964110680064.00 | pureté: 2083064973507413671936.00 | best: 2083064973507413671936.00 | trans: 119487]
[365,000 | 8.5s | 42904/s | or: 154576253189094277120.00 | pureté: 3796076162427055505408.00 | best: 3796076162427055505408.00 | trans: 121101]
[370,000 | 8.6s | 42830/s | or: 287093753105245569024.00 | pureté: 7050457345401668239360.00 | best: 7050457345401668239360.00 | trans: 122676]
[375,000 | 8.8s | 42817/s | or: 555086076273901174784.00 | pureté: 13631772109761599766528.00 | best: 13933583682671877292032.00 | trans: 124383]
[380,000 | 8.9s | 42817/s | or: 1040985325222496829440.00 | pureté: 25564454688038452199424.00 | best: 25564454688038452199424.00 | trans: 126035]
[385,000 | 9.0s | 42811/s | or: 1894509846186916839424.00 | pureté: 46555756261057151107072.00 | best: 48178588737220835803136.00 | trans: 127631]
[390,000 | 9.1s | 42799/s | or: 3511061979520444661760.00 | pureté: 86224432421829840207872.00 | best: 86303017265247041880064.00 | trans: 129259]
[395,000 | 9.2s | 42783/s | or: 6578159136998028214272.00 | pureté: 161546250385100965412864.00 | best: 171072716118701383876608.00 | trans: 130879]
[400,000 | 9.3s | 42783/s | or: 12775403652318125621248.00 | pureté: 313737478487013066801152.00 | best: 313737478487013066801152.00 | trans: 132569]
[405,000 | 9.5s | 42774/s | or: 23361192216007037419520.00 | pureté: 573980806434423931142144.00 | best: 587847409751897814335488.00 | trans: 134224]
[410,000 | 9.6s | 42773/s | or: 43613544912133149425664.00 | pureté: 1071059392553509827117056.00 | best: 1114027665594857744760832.00 | trans: 135907]
[415,000 | 9.7s | 42767/s | or: 77180858158449216716800.00 | pureté: 1896281230596680074657792.00 | best: 1896281230596680074657792.00 | trans: 137562]
[420,000 | 9.8s | 42778/s | or: 145548444067444811628544.00 | pureté: 3574368039831666063048704.00 | best: 3574368039831666063048704.00 | trans: 139266]
[425,000 | 9.9s | 42790/s | or: 275817534807579679522816.00 | pureté: 6773506602093036145999872.00 | best: 6906148290055979145363456.00 | trans: 140966]
[430,000 | 10.0s | 42792/s | or: 527831221592907076075520.00 | pureté: 12962447388616342206676992.00 | best: 13289555709425707508563968.00 | trans: 142653]
[435,000 | 10.2s | 42799/s | or: 958202563772079558098944.00 | pureté: 23539569471432342542221312.00 | best: 23539569471432342542221312.00 | trans: 144244]
[440,000 | 10.3s | 42811/s | or: 1794372647210560029458432.00 | pureté: 44080277705531566025867264.00 | best: 44848118576297696989020160.00 | trans: 145933]
[445,000 | 10.4s | 42829/s | or: 3274847398398611440009216.00 | pureté: 80423452696657023920504832.00 | best: 83836340748865788193013760.00 | trans: 147581]
[450,000 | 10.5s | 42829/s | or: 6213415468435996774760448.00 | pureté: 152634567759353668154949632.00 | best: 152634567759353668154949632.00 | trans: 149263]
[455,000 | 10.6s | 42845/s | or: 11658940941590197442707456.00 | pureté: 286319372531878676012204032.00 | best: 302972782728732811120869376.00 | trans: 150936]
[460,000 | 10.7s | 42859/s | or: 21511758218438616933203968.00 | pureté: 562948436570433225519792128.00 | best: 562948436570433225519792128.00 | trans: 152575]
[465,000 | 10.8s | 42867/s | or: 39643193862531443253575680.00 | pureté: 973792779566672470140256256.00 | best: 973792779566672470140256256.00 | trans: 154160]
[470,000 | 11.0s | 42782/s | or: 74555249449427783049543680.00 | pureté: 1830922006037443565175439360.00 | best: 1899190450654665575132823552.00 | trans: 155891]
[475,000 | 11.1s | 42785/s | or: 143996375972298264361828352.00 | pureté: 3536251751860520366693679104.00 | best: 3536251751860520366693679104.00 | trans: 157593]
